Time,LastReadMs,LoopCount,RebootCount,TemperatureA (F),TemperatureB (F),TemperatureC (F),Light (0-1023),Light (Descriptor)
2000/1/1 00:00:00,1100,1,255,85.55,-196.60,85.55,44,Dim
2000/1/1 00:00:00,16151,2,255,85.55,-196.60,85.55,45,Dim
2016/7/17 12:33:00,1145,1,0,86.00,-196.60,85.55,42,Dim
2016/7/17 12:33:15,16196,2,0,86.00,-196.60,91.40,0,Dark
2016/7/17 12:33:22,691,1,1,86.00,-196.60,91.85,40,Dim
2017/7/27 14:56:19,671,1,2,-196.60,77.90,-196.60,229,Light
2017/7/27 14:56:38,551,1,3,-196.60,77.45,-196.60,193,Light
2017/7/27 14:56:53,15602,2,3,185.00,77.90,-196.60,200,Light
2017/7/27 14:57:08,30653,3,3,78.35,77.45,78.80,223,Light
2017/7/27 14:57:23,45705,4,3,77.90,77.45,78.80,229,Light
2017/7/27 16:16:25,849,1,4,78.35,77.45,77.00,133,Light
2017/7/27 16:16:40,15900,2,4,77.90,77.90,77.00,75,Dim
2017/7/27 16:16:55,30952,3,4,77.90,77.90,77.00,54,Dim
2017/7/27 16:17:12,849,1,5,77.45,77.90,76.55,172,Light
2017/7/27 16:17:27,15900,2,5,77.00,77.90,76.55,47,Dim
2017/7/27 16:17:42,30952,3,5,77.00,78.35,76.55,45,Dim
2017/7/27 16:20:38,849,1,6,78.35,78.35,77.90,168,Light
2017/7/27 16:20:53,15900,2,6,78.35,78.35,78.80,157,Light
2017/7/27 16:21:08,30952,3,6,78.35,78.35,79.25,77,Dim
2017/7/27 16:21:23,46004,4,6,77.90,78.35,79.25,49,Dim
2017/7/27 16:23:03,848,1,7,77.45,78.80,80.60,150,Light
2017/7/27 16:23:18,15900,2,7,77.45,78.80,80.15,225,Light
2017/7/27 16:23:33,30952,3,7,77.45,79.70,79.70,47,Dim
2017/7/27 16:24:03,848,1,8,77.00,78.80,78.80,225,Light
2017/7/27 16:24:18,15900,2,8,77.00,78.80,78.80,227,Light
2017/7/27 16:24:33,30952,3,8,77.00,78.80,78.35,227,Light
2017/7/27 16:24:42,849,1,9,77.00,78.80,78.35,106,Light
2017/7/27 16:24:57,15900,2,9,77.00,79.25,78.35,129,Light
2017/7/27 16:25:12,30952,3,9,77.00,78.80,77.90,225,Light
2017/7/27 16:25:22,850,1,10,77.00,78.80,77.90,135,Light
2017/7/27 16:25:37,15901,2,10,77.00,78.80,77.90,221,Light
2017/7/27 16:25:52,30952,3,10,77.00,78.80,77.45,193,Light
2017/7/27 16:26:31,850,1,11,77.00,79.25,77.45,228,Light
2017/7/27 16:26:46,15901,2,11,77.00,78.80,77.00,219,Light
2017/7/27 16:27:01,30953,3,11,77.00,78.80,77.00,198,Light
2017/7/27 16:27:16,743,1,13,77.00,79.25,77.00,52,Dim
2017/7/27 16:27:31,15794,2,13,77.00,79.70,77.00,89,Dim
2017/7/27 16:27:46,30845,3,13,77.00,79.70,77.00,67,Dim
2017/7/27 16:28:01,45895,4,13,77.00,79.25,77.00,185,Light
2017/7/27 16:28:16,60946,5,13,77.00,79.25,76.55,165,Light
2017/7/27 16:28:31,75998,6,13,77.00,79.25,76.55,192,Light
2017/7/27 16:28:46,91050,7,13,77.00,79.25,76.55,193,Light
2017/7/27 16:29:01,106102,8,13,77.45,79.25,76.55,90,Dim
2017/7/27 16:29:16,121153,9,13,77.45,79.25,76.55,127,Light
2017/7/27 16:29:31,136203,10,13,78.35,79.25,76.55,113,Light
2017/7/27 16:29:46,151253,11,13,78.35,79.25,76.55,114,Light
2017/7/27 16:30:01,166305,12,13,78.35,79.25,77.00,110,Light
2017/7/27 16:30:16,181357,13,13,78.35,79.70,77.00,577,Bright
2017/7/27 16:30:31,196408,14,13,80.15,80.60,78.80,534,Bright
2017/7/27 16:30:46,211460,15,13,81.50,81.50,80.60,328,Bright
2017/7/27 16:31:01,226512,16,13,82.85,83.75,82.40,863,Very Bright
