Time,LastReadMs,LoopCount,RebootCount,TemperatureA (F),TemperatureB (F),TemperatureC (F),Light (0-1023),Light (Descriptor)
2000/1/1 00:00:00,1152,1,255,86.00,85.55,87.80,233,Light
2017/7/23 15:59:00,1217,1,0,86.45,85.55,87.80,228,Light
2017/7/23 15:59:15,16269,2,0,86.45,85.10,87.35,225,Light
2017/7/23 15:59:21,743,1,1,86.45,85.10,87.35,226,Light
2017/7/23 15:59:36,15795,2,1,86.45,85.10,87.35,227,Light
2017/7/23 15:59:51,30847,3,1,86.45,86.00,87.35,0,Dark
2017/7/23 16:00:06,45897,4,1,90.05,86.00,87.35,234,Light
2017/7/23 16:00:21,60948,5,1,92.75,85.55,87.35,241,Light
2017/7/23 16:00:36,76000,6,1,94.10,85.55,87.35,252,Light
2017/7/23 16:00:51,91052,7,1,94.55,85.10,86.90,210,Light
2017/7/23 16:01:06,106104,8,1,94.10,85.10,86.90,210,Light
2017/7/23 16:01:21,121155,9,1,93.20,85.55,86.90,46,Dim
2017/7/27 15:19:24,875,1,2,77.45,77.90,77.90,291,Light
2017/7/27 15:19:39,15927,2,2,77.45,77.90,77.90,281,Light
2017/7/27 15:19:54,30978,3,2,185.00,77.90,77.90,262,Light
2017/7/27 15:20:09,46028,4,2,77.79,78.35,78.35,7,Dark
2017/7/27 15:20:24,61079,5,2,78.12,78.80,78.35,16,Dim
2017/7/27 15:20:39,76130,6,2,78.35,78.35,78.35,17,Dim
2017/7/27 15:20:54,91182,7,2,78.46,78.35,78.80,13,Dim
2017/7/27 15:21:09,106233,8,2,78.57,78.35,78.80,20,Dim
2017/7/27 15:21:24,121284,9,2,77.68,77.90,82.85,10,Dim
2017/7/27 15:21:39,136334,10,2,80.15,77.90,83.75,6,Dark
2017/7/27 15:21:54,151386,11,2,81.27,78.35,83.75,9,Dark
2017/7/27 15:22:09,166438,12,2,81.27,78.35,83.75,10,Dim
2017/7/27 15:22:24,181489,13,2,81.16,78.35,83.75,14,Dim
2017/7/27 15:22:39,196541,14,2,81.05,78.35,83.75,11,Dim
2017/7/27 15:22:53,211591,15,2,80.94,78.35,83.30,10,Dim
2017/7/27 15:23:08,226641,16,2,80.82,78.35,83.30,32,Dim
2017/7/27 15:23:23,241693,17,2,80.71,78.35,82.85,96,Dim
2017/7/27 15:23:38,256744,18,2,80.60,78.35,83.30,193,Light
2017/7/27 15:23:53,271795,19,2,80.49,78.80,83.30,291,Light
2017/7/27 15:24:08,286847,20,2,80.26,78.80,82.85,410,Bright
2017/7/27 15:24:23,301899,21,2,80.15,78.80,82.85,372,Bright
2017/7/27 15:24:38,316949,22,2,80.04,78.80,82.85,254,Light
2017/7/27 15:24:53,332000,23,2,80.04,78.80,82.85,201,Light
2017/7/27 15:25:08,347051,24,2,79.93,79.25,82.85,202,Light
2017/7/27 15:25:23,362103,25,2,80.37,80.15,83.30,663,Very Bright
2017/7/27 15:25:38,377155,26,2,81.61,81.05,83.75,786,Very Bright
2017/7/27 15:25:53,392207,27,2,82.74,81.50,83.75,638,Very Bright
2017/7/27 15:26:08,407259,28,2,84.20,84.65,85.10,934,Very Bright
2017/7/27 15:26:23,422311,29,2,85.55,89.15,87.35,933,Very Bright
2017/7/27 15:26:38,437362,30,2,86.34,92.75,88.70,933,Very Bright
2017/7/27 15:26:53,452413,31,2,86.90,95.90,90.50,934,Very Bright
2017/7/27 15:27:08,467463,32,2,87.46,99.05,92.30,933,Very Bright
2017/7/27 15:27:23,482514,33,2,88.02,101.75,93.65,931,Very Bright
2017/7/27 15:27:38,497565,34,2,88.25,104.45,94.55,935,Very Bright
2017/7/27 15:27:53,512616,35,2,88.70,106.70,95.45,932,Very Bright
2017/7/27 15:28:08,527667,36,2,89.04,108.50,96.35,932,Very Bright
2017/7/27 15:28:23,542718,37,2,89.49,110.75,97.70,930,Very Bright
2017/7/27 15:28:38,557769,38,2,90.50,113.00,99.05,931,Very Bright
2017/7/27 15:28:53,572821,39,2,91.18,115.25,100.85,927,Very Bright
2017/7/27 15:29:08,587872,40,2,91.62,117.05,102.20,931,Very Bright
2017/7/27 15:29:23,602923,41,2,91.51,117.95,103.10,825,Very Bright
2017/7/27 15:29:38,617973,42,2,89.26,119.30,104.45,931,Very Bright
2017/7/27 15:29:53,633024,43,2,85.66,121.10,104.90,933,Very Bright
