Time,LastReadMs,LoopCount,RebootCount,TemperatureA (F),TemperatureB (F),TemperatureC (F),Light (0-1023),Light (Descriptor)
2000/1/1 00:00:00,1147,1,255,85.10,-196.60,85.10,83,Dim
2000/1/1 00:00:00,16198,2,255,85.10,-196.60,85.10,48,Dim
2016/7/17 12:19:00,1433,1,0,85.10,-196.60,85.10,49,Dim
2016/7/17 12:19:09,691,1,1,85.10,-196.60,85.10,63,Dim
2000/1/1 00:00:00,977,1,255,-196.60,86.00,-196.60,198,Light
2017/7/23 15:57:00,1337,1,0,-196.60,86.00,-196.60,195,Light
2017/7/23 15:57:15,745,1,1,86.90,86.00,86.00,184,Light
2017/7/23 15:57:30,15797,2,1,86.90,86.00,86.00,185,Light
2017/7/27 13:58:01,1202,1,2,77.00,78.80,77.00,332,Bright
2017/7/27 13:58:16,16253,2,2,78.80,78.80,77.00,347,Bright
2017/7/27 13:58:31,31304,3,2,79.25,78.80,77.00,373,Bright
2017/7/27 13:58:46,46354,4,2,78.80,78.80,78.35,332,Bright
2017/7/27 13:59:01,61406,5,2,78.80,78.80,78.35,331,Bright
2017/7/27 13:59:16,76457,6,2,78.80,79.25,78.35,312,Bright
2017/7/27 13:59:31,91509,7,2,78.35,79.25,78.35,343,Bright
2017/7/27 13:59:46,106560,8,2,78.80,79.25,78.35,378,Bright
2017/7/27 14:00:01,121611,9,2,78.35,79.25,78.35,336,Bright
2017/7/27 14:00:16,136662,10,2,78.80,79.25,78.80,206,Light
2017/7/27 14:00:31,151712,11,2,78.80,79.70,78.80,195,Light
2017/7/27 14:00:46,166763,12,2,78.80,79.70,78.80,191,Light
2017/7/27 14:01:01,181815,13,2,185.00,79.70,78.80,286,Light
2017/7/27 14:01:16,196866,14,2,78.91,80.15,78.80,341,Bright
2017/7/27 14:01:31,211917,15,2,-196.60,80.15,-196.60,332,Bright
2017/7/27 14:01:46,226968,16,2,-196.60,80.15,-196.60,325,Bright
2017/7/27 14:02:01,242020,17,2,-196.60,80.60,-196.60,355,Bright
2017/7/27 14:02:16,257072,18,2,79.02,81.05,78.91,349,Bright
2017/7/27 14:02:31,272124,19,2,79.02,81.05,78.91,359,Bright
2017/7/27 14:02:46,287175,20,2,79.02,81.05,78.91,359,Bright
2017/7/27 14:03:01,302227,21,2,79.02,81.05,78.46,324,Bright
2017/7/27 14:03:16,317278,22,2,78.46,81.05,78.01,321,Bright
2017/7/27 14:03:31,332328,23,2,78.24,81.05,77.90,308,Bright
2017/7/27 14:03:46,347380,24,2,79.36,81.05,77.68,274,Light
2017/7/27 14:04:01,362432,25,2,80.15,81.05,77.56,269,Light
2017/7/27 14:04:16,377484,26,2,80.15,81.05,77.45,386,Bright
2017/7/27 14:04:31,392535,27,2,80.60,81.95,78.01,658,Very Bright
2017/7/27 14:04:46,407586,28,2,81.61,82.40,79.47,732,Very Bright
2017/7/27 14:05:01,422638,29,2,82.40,83.30,80.37,900,Very Bright
2017/7/27 14:05:16,437690,30,2,84.31,86.90,82.18,925,Very Bright
2017/7/27 14:05:31,452741,31,2,86.00,89.15,83.64,845,Very Bright
2017/7/27 14:05:46,467792,32,2,87.12,90.95,84.54,928,Very Bright
2017/7/27 14:06:01,482842,33,2,87.57,92.75,85.32,896,Very Bright
2017/7/27 14:06:16,497894,34,2,87.80,92.75,85.77,928,Very Bright
2017/7/27 14:06:30,512946,35,2,88.47,93.65,86.56,928,Very Bright
2017/7/27 14:06:45,527997,36,2,89.49,94.55,87.69,925,Very Bright
2017/7/27 14:07:00,543048,37,2,90.84,95.45,88.93,925,Very Bright
2017/7/27 14:07:15,558099,38,2,91.74,96.80,89.15,927,Very Bright
2017/7/27 14:07:30,573150,39,2,92.64,99.05,89.49,927,Very Bright
2017/7/27 14:07:45,588201,40,2,92.75,100.40,90.39,923,Very Bright
2017/7/27 14:08:00,603252,41,2,92.30,99.95,93.76,838,Very Bright
2017/7/27 14:08:15,618302,42,2,91.85,100.40,90.72,838,Very Bright
2017/7/27 14:08:30,633352,43,2,91.74,100.85,87.35,926,Very Bright
2017/7/27 14:08:45,648402,44,2,91.51,100.85,86.34,837,Very Bright
2017/7/27 14:09:00,663454,45,2,91.51,101.30,86.11,840,Very Bright
2017/7/27 14:09:15,678506,46,2,90.95,101.75,86.11,839,Very Bright
2017/7/27 14:09:30,693558,47,2,90.72,103.10,86.22,836,Very Bright
2017/7/27 14:09:45,708610,48,2,90.84,103.55,86.11,875,Very Bright
2017/7/27 14:10:00,723661,49,2,90.95,104.00,86.11,925,Very Bright
2017/7/27 14:10:15,738712,50,2,90.72,105.35,86.11,835,Very Bright
2017/7/27 14:10:30,753763,51,2,90.72,107.60,86.11,834,Very Bright
2017/7/27 14:10:45,768814,52,2,90.61,109.40,86.11,834,Very Bright
2017/7/27 14:11:00,783866,53,2,90.27,109.40,86.11,836,Very Bright
2017/7/27 14:11:15,798918,54,2,90.27,109.85,86.00,835,Very Bright
2017/7/27 14:11:30,813969,55,2,90.27,111.20,86.00,834,Very Bright
2017/7/27 14:11:45,829020,56,2,90.39,113.00,86.00,833,Very Bright
2017/7/27 14:12:00,844070,57,2,90.05,114.35,86.00,834,Very Bright
2017/7/27 14:12:15,859120,58,2,89.60,113.90,86.11,834,Very Bright
2017/7/27 14:12:30,874172,59,2,89.60,115.25,85.77,835,Very Bright
2017/7/27 14:12:45,889224,60,2,89.71,117.05,85.66,834,Very Bright
2017/7/27 14:13:00,904276,61,2,89.71,118.40,85.55,834,Very Bright
2017/7/27 14:13:15,919328,62,2,89.26,119.30,85.32,832,Very Bright
2017/7/27 14:13:30,934379,63,2,89.26,118.40,84.99,832,Very Bright
