Time,LastReadMs,LoopCount,RebootCount,TemperatureA (F),TemperatureB (F),TemperatureC (F),Light (0-1023),Light (Descriptor)
2000/1/1 00:00:00,997,1,255,185.00,81.05,-196.60,111,Light
2000/1/1 00:00:00,637,1,0,79.70,81.50,-196.60,109,Light
2015/8/3 22:15:29,642,1,2,79.70,81.95,-196.60,100,Light
2015/8/3 22:15:44,15694,2,2,80.15,81.95,-196.60,98,Dim
2015/8/3 22:15:59,30746,3,2,80.15,82.40,81.05,65,Dim
2015/8/5 22:48:51,903,1,3,48.20,79.25,70.25,17,Dim
2015/8/5 22:49:06,15953,2,3,41.45,79.70,68.00,8,Dark
2015/8/5 22:49:21,31004,3,3,35.15,80.60,66.20,3,Dark
2015/8/5 22:49:36,46055,4,3,30.20,80.60,63.95,1,Dark
2015/8/5 22:49:51,61106,5,3,25.70,81.05,62.60,0,Dark
2015/8/5 22:50:06,76157,6,3,21.65,81.05,60.80,0,Dark
2015/8/5 22:50:21,91207,7,3,18.50,81.50,59.00,0,Dark
2015/8/5 22:50:36,106259,8,3,15.35,81.50,57.65,0,Dark
2015/8/5 22:50:51,121311,9,3,12.65,81.50,56.30,0,Dark
2015/8/5 22:51:06,136363,10,3,10.40,81.95,54.50,0,Dark
2015/8/5 22:51:21,151415,11,3,8.60,81.95,53.60,0,Dark
2015/8/5 22:51:36,166467,12,3,6.80,81.95,52.25,0,Dark
2015/8/5 22:51:51,181517,13,3,5.45,81.95,51.35,0,Dark
2015/8/5 22:52:06,196567,14,3,4.10,81.95,50.00,0,Dark
2015/8/5 22:52:21,211618,15,3,3.20,81.95,49.10,0,Dark
2015/8/5 22:52:36,226669,16,3,2.30,81.95,48.20,0,Dark
2015/8/5 22:52:51,241720,17,3,1.40,82.40,47.30,0,Dark
2015/8/5 22:53:06,256771,18,3,0.50,82.40,46.40,0,Dark
2015/8/5 22:53:21,271822,19,3,0.05,82.40,45.50,0,Dark
2015/8/5 22:53:36,286874,20,3,-0.40,82.40,45.05,0,Dark
2015/8/5 22:53:51,301926,21,3,-0.85,82.40,44.15,0,Dark
2015/8/5 22:54:06,316977,22,3,-1.30,82.40,43.70,0,Dark
2015/8/5 22:54:21,332028,23,3,-1.75,82.40,43.25,0,Dark
2015/8/5 22:54:36,347079,24,3,-2.20,82.40,42.80,0,Dark
2015/8/5 22:54:51,362129,25,3,-2.65,82.40,42.35,0,Dark
2015/8/5 22:55:05,377180,26,3,-2.65,82.40,41.45,0,Dark
2015/8/5 22:55:20,392231,27,3,-3.10,82.40,41.00,0,Dark
2015/8/5 22:55:35,407282,28,3,-3.10,82.40,41.00,0,Dark
2015/8/5 22:55:50,422333,29,3,-3.55,82.40,40.55,0,Dark
2015/8/5 22:56:05,437384,30,3,-3.55,82.40,40.10,0,Dark
2015/8/5 22:56:20,452435,31,3,-3.55,82.40,39.65,0,Dark
2015/8/5 22:56:35,467486,32,3,-4.00,82.40,39.65,0,Dark
2015/8/5 22:56:50,482538,33,3,-4.00,82.40,39.20,0,Dark
2015/8/5 22:57:05,497590,34,3,-4.00,82.40,38.75,0,Dark
2015/8/5 22:57:20,512642,35,3,-4.45,82.40,38.30,0,Dark
2015/8/5 22:57:35,527694,36,3,-4.45,82.40,38.30,0,Dark
2015/8/5 22:57:50,542746,37,3,-4.45,82.40,38.30,0,Dark
2015/8/5 22:58:05,557797,38,3,-4.45,82.40,37.85,0,Dark
2015/8/5 22:58:20,572849,39,3,-4.45,82.40,37.85,0,Dark
2015/8/5 22:58:35,587900,40,3,-4.90,82.40,37.40,0,Dark
2015/8/5 22:58:50,602951,41,3,-4.90,82.40,37.40,0,Dark
2015/8/5 22:59:05,618002,42,3,-4.90,82.40,36.95,0,Dark
2015/8/5 22:59:20,633053,43,3,-4.90,82.40,36.95,0,Dark
2015/8/5 22:59:35,648103,44,3,-4.90,82.40,36.95,0,Dark
2015/8/5 22:59:50,663153,45,3,-4.90,82.40,36.50,0,Dark
2015/8/5 23:00:05,678204,46,3,-4.90,82.40,36.50,0,Dark
2015/8/5 23:00:20,693255,47,3,-5.35,82.40,36.50,0,Dark
2015/8/5 23:00:35,708306,48,3,-5.35,82.40,36.50,0,Dark
2015/8/5 23:00:50,723357,49,3,-5.35,82.40,36.05,0,Dark
2015/8/5 23:01:05,738409,50,3,-5.35,82.40,36.05,0,Dark
2015/8/5 23:01:20,753460,51,3,-5.35,82.40,36.05,0,Dark
2015/8/5 23:01:35,768511,52,3,-5.35,82.40,36.05,0,Dark
2015/8/5 23:01:50,783562,53,3,-5.35,82.40,36.05,0,Dark
2015/8/5 23:02:05,798613,54,3,-5.35,82.40,35.60,0,Dark
2015/8/5 23:02:20,813664,55,3,-5.35,82.40,35.60,0,Dark
2015/8/5 23:02:35,828714,56,3,-5.35,82.40,35.60,0,Dark
2015/8/5 23:02:50,843764,57,3,-5.35,82.40,35.60,0,Dark
2015/8/5 23:03:05,858815,58,3,-5.35,82.40,35.60,0,Dark
2015/8/5 23:03:20,873867,59,3,-5.35,82.40,35.60,0,Dark
2015/8/5 23:03:35,888919,60,3,-5.80,82.40,35.60,0,Dark
2015/8/5 23:03:50,903971,61,3,-5.35,82.40,35.15,0,Dark
2015/8/5 23:04:05,919023,62,3,-5.80,82.40,35.15,0,Dark
2015/8/5 23:04:20,934074,63,3,-5.80,82.40,35.15,0,Dark
2015/8/5 23:04:35,949126,64,3,-5.80,82.40,35.15,0,Dark
2015/8/5 23:04:50,964178,65,3,-5.80,82.40,35.15,0,Dark
2015/8/5 23:05:05,979230,66,3,-5.80,82.40,35.15,0,Dark
2015/8/5 23:05:20,994282,67,3,-5.80,82.40,35.15,0,Dark
2015/8/5 23:05:35,1009333,68,3,-5.80,82.40,35.15,0,Dark
2015/8/5 23:05:50,1024384,69,3,-5.80,82.40,35.15,0,Dark
2015/8/5 23:06:05,1039434,70,3,-5.80,82.40,34.70,0,Dark
2015/8/5 23:06:20,1054485,71,3,-5.80,82.40,34.70,0,Dark
2015/8/5 23:06:35,1069537,72,3,-5.80,82.40,34.70,0,Dark
2015/8/5 23:06:50,1084589,73,3,-5.80,82.40,34.70,0,Dark
2015/8/5 23:07:05,1099641,74,3,-5.80,82.40,34.70,0,Dark
2015/8/5 23:07:20,1114693,75,3,-5.80,82.40,34.70,0,Dark
2015/8/5 23:07:35,1129745,76,3,-6.25,82.40,34.70,0,Dark
2015/8/5 23:07:50,1144796,77,3,-6.25,82.40,34.70,0,Dark
2015/8/5 23:08:04,1159848,78,3,-5.80,82.40,34.70,0,Dark
2015/8/5 23:08:19,1174899,79,3,-6.25,82.40,34.70,0,Dark
2015/8/5 23:08:34,1189951,80,3,-5.80,82.40,34.70,0,Dark
2015/8/5 23:08:49,1205003,81,3,-6.25,82.40,34.70,0,Dark
2015/8/5 23:09:04,1220055,82,3,-6.25,82.40,34.70,0,Dark
