Time,Temperature,Humidity,Pressure (in Hg),Altitude (meters),Light (Raw value 0-1023),Light (qualitative descriptor
2014/7/17 21:32:37,27.56,35.00,30.05,-37.31,449,bright
2014/7/17 21:32:39,27.62,35.00,30.05,-37.56,452,bright
2014/7/17 21:32:42,27.62,35.00,30.06,-38.06,452,bright
2014/7/17 21:32:44,27.62,35.00,30.06,-38.31,443,bright
2014/7/17 21:32:46,27.62,35.00,30.06,-38.38,452,bright
2014/7/17 21:32:49,27.62,35.00,30.06,-38.81,451,bright
2014/7/17 21:32:50,27.62,35.00,30.06,-38.69,449,bright
2014/7/17 21:32:53,27.62,35.00,30.06,-39.31,451,bright
2014/7/17 21:32:55,27.62,34.00,30.06,-39.31,451,bright
2014/7/17 21:32:58,27.62,34.00,30.06,-39.38,450,bright
2014/7/17 21:33:0,27.69,35.00,30.06,-39.81,428,bright
2014/7/17 21:33:2,27.69,35.00,30.06,-40.00,447,bright
2014/7/17 21:33:4,27.62,35.00,30.07,-39.75,460,bright
2014/7/17 21:33:6,27.69,35.00,30.06,-40.25,437,bright
2014/7/17 21:33:8,27.69,35.00,30.06,-40.56,434,bright
2014/7/17 21:33:11,27.69,35.00,30.06,-40.56,449,bright
2014/7/17 21:33:13,27.69,34.00,30.07,-40.63,454,bright
2014/7/17 21:33:15,27.69,34.00,30.07,-40.94,428,bright
2014/7/17 21:33:17,27.69,35.00,30.07,-41.06,454,bright
2014/7/17 21:33:20,27.69,35.00,30.07,-41.13,436,bright
2014/7/17 21:33:22,27.69,34.00,30.07,-41.31,235,light
