millis,sens0,sens1,sens2,sens3,sens4
300000,1023,1023,1023,1023,1023
600000,1023,1023,1023,1023,1023
900000,1023,1023,1023,1023,1023
1200000,1023,1023,1023,1023,1023
1500000,1023,1023,1023,1023,1023
1800000,1023,1023,1023,1023,1023
2100000,1023,1023,1023,1023,1023
2400000,1023,1023,1023,1023,1023
2700000,1023,1023,1023,1023,1023
3000000,1023,1023,1023,1023,1023
3300000,1023,1023,1023,1023,1023
3600000,1023,1023,1023,1023,1023
3900000,1023,1023,1023,1023,1023
4200000,1023,1023,1023,1023,1023
4500000,1023,1023,1023,1023,1023
4800000,1023,1023,1023,1023,1023
5100000,1023,1023,1023,1023,1023
5400000,1023,1023,1023,1023,1023
5700000,1023,1023,1023,1023,1023
6000000,1023,1023,1023,1023,1023
6300000,1023,1023,1023,1023,1023
6600000,1023,1023,1023,1023,1023
6900000,1023,1023,1023,1023,1023
7200000,1023,1023,1023,1023,1023
7500000,1023,1023,1023,1023,1023
7800000,1023,1023,1023,1023,1023
8100000,1023,1023,1023,1023,1023
8400000,1023,1023,1023,1023,1023
8700000,1023,1023,1023,1023,1023
9000000,1023,1023,1023,1023,1023
9300000,1023,1023,1023,1023,1023
9600000,1023,1023,1023,1023,1023
9900000,1023,1023,1023,1023,1023
10200000,1023,1023,1023,1023,1023
10500000,1023,1023,1023,1023,1023
10800000,1023,1023,1023,1023,1023
11100000,1023,1023,1023,1023,1023
11400000,1023,1023,1023,1023,1023
11700000,1023,1023,1023,1023,1023
12000000,1023,1023,1023,1023,1023
12300000,1023,1023,1023,1023,1023
12600000,1023,1023,1023,1023,1023
12900000,1023,1023,1023,1023,1023
13200000,1023,1023,1023,1023,1023
13500000,1023,1023,1023,1023,1023
13800000,1023,1023,1023,1023,1023
14100000,1023,1023,1023,1023,1023
14400000,1023,1023,1023,1023,1023
14700000,1023,1023,1023,1023,1023
15000000,1023,1023,1023,1023,1023
15300000,1023,1023,1023,1023,1023
15600000,1023,1023,1023,1023,1023
15900000,1023,1023,1023,1023,1023
16200000,1023,1023,1023,1023,1023
16500000,1023,1023,1023,1023,1023
16800000,1023,1023,1023,1023,1023
17100000,1023,1023,1023,1023,1023
17400000,1023,1023,1023,1023,1023
17700000,1023,1023,1023,1023,1023
18000000,1023,1023,1023,1023,1023
18300000,1023,1023,1023,1023,1023
18600000,1023,1023,1023,1023,1023
18900000,1023,1023,1023,1023,1023
19200000,1023,1023,1023,1023,1023
19500000,1023,1023,1023,1023,1023
19800000,1023,1023,1023,1023,1023
20100000,1023,1023,1023,1023,1023
20400000,1023,1023,1023,1023,1023
20700000,1023,1023,1023,1023,1023
21000000,1023,1023,1023,1023,1023
21300000,1023,1023,1023,1023,1023
21600000,1023,1023,1023,1023,1023
21900000,1023,1023,1023,1023,1023
22200000,1023,1023,1023,1023,1023
22500000,1023,1023,1023,1023,1023
22800000,1023,1023,1023,1023,1023
23100000,1023,1023,1023,1023,1023
23400000,1023,1023,1023,1023,1023
23700000,1023,1023,1023,1023,1023
24000000,1023,1023,1023,1023,1023
24300000,1023,1023,1023,1023,1023
24600000,1023,1023,1023,1023,1023
24900000,1023,1023,1023,1023,1023
25200000,1023,1023,1023,1023,1023
25500000,1023,1023,1023,1023,1023
25800000,1023,1023,1023,1023,1023
26100000,1023,1023,1023,1023,1023
26400000,1023,1023,1023,1023,1023
26700000,1023,1023,1023,1023,1023
27000000,1023,1023,1023,1023,1023
27300000,1023,1023,1023,1023,1023
27600000,1023,1023,1023,1023,1023
27900000,1023,1023,1023,1023,1023
28200000,1023,1023,1023,1023,1023
28500000,1023,1023,1023,1023,1023
28800000,1023,1023,1023,1023,1023
29100000,1023,1023,1023,1023,1023
29400000,1023,1023,1023,1023,1023
29700000,1023,1023,1023,1023,1023
30000000,1023,1023,1023,1023,1023
30300000,1023,1023,1023,1023,1023
30600000,1023,1023,1023,1023,1023
30900000,1023,1023,1023,1023,1023
31200000,1023,1023,1023,1023,1023
31500000,1023,1023,1023,1023,1023
31800000,1023,1023,1023,1023,1023
32100000,1023,1023,1023,1023,1023
32400000,1023,1023,1023,1023,1023
32700000,1023,1023,1023,1023,1023
33000000,1023,1023,1023,1023,1023
33300000,1023,1023,1023,1023,1023
33600000,1023,1023,1023,1023,1023
33900000,1023,1023,1023,1023,1023
34200000,1023,1023,1023,1023,1023
34500000,1023,1023,1023,1023,1023
34800000,1023,1023,1023,1023,1023
35100000,1023,1023,1023,1023,1023
35400000,1023,1023,1023,1023,1023
35700000,1023,1023,1023,1023,1023
36000000,1023,1023,1023,1023,1023
36300000,1023,1023,1023,1023,1023
36600000,1023,1023,1023,1023,1023
36900000,1023,1023,1023,1023,1023
37200000,1023,1023,1023,1023,1023
37500000,1023,1023,1023,1023,1023
37800000,1023,1023,1023,1023,1023
38100000,1023,1023,1023,1023,1023
38400000,1023,1023,1023,1023,1023
